Part,Tool,Cavity,Date,라벨,"FAI 1 / SPC A"
"Memphis IR BASE",A,1CAV,2026-02-28,"Data 3",0.0234
"Memphis IR BASE",A,2CAV,2026-02-28,"Data 1",0.0138
"Memphis IR BASE",A,2CAV,2026-02-28,"Data 2",0.0244
"Memphis IR BASE",A,2CAV,2026-02-28,"Data 3",0.0249
"Memphis IR BASE",A,3CAV,2026-02-28,"Data 1",0.0322
"Memphis IR BASE",A,3CAV,2026-02-28,"Data 2",0.0284
"Memphis IR BASE",A,3CAV,2026-02-28,"Data 3",0.0324
"Memphis IR BASE",A,4CAV,2026-02-28,"Data 1",0.0247
"Memphis IR BASE",A,4CAV,2026-02-28,"Data 2",0.0289
"Memphis IR BASE",A,4CAV,2026-02-28,"Data 3",0.0243
